Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm)
1943,1,-7.9,-16.1,-12,1.1,-23.9,0,6.4,6.4
1943,2,-1.6,-11.1,-6.4,10,-26.1,21.3,11.4,32.8
1943,3,-0.1,-8.3,-4.2,10,-19.4,29,8.9,37.8
1943,4,4.7,-1.9,1.4,18.3,-9.4,22.1,24.6,46.7
1943,5,12.8,3.9,8.4,25,-2.8,156,0,156
1943,6,16.3,8,12.2,27.8,1.7,114.8,0,114.8
1943,7,22.7,14.1,18.4,30.6,6.7,99.8,0,99.8
1943,8,21.3,13.8,17.6,27.2,9.4,79.8,0,79.8
1943,9,18.8,11.3,15.1,27.2,5,114.6,0,114.6
1943,10,13.3,6.9,10.1,20.6,-0.6,118.6,0,118.6
1943,11,5.5,0.2,2.9,15,-8.3,124,43.7,167.6
1943,12,-3.4,-10.9,-7.2,4.4,-23.3,12.7,34.5,47.2
1944,1,-2.8,-9.9,-6.4,3.3,-17.2,2,31,33
1944,2,-4.3,-12.2,-8.3,5,-21.1,28.2,102.1,130.3
1944,3,-1.4,-9,-5.2,6.7,-18.9,57.7,27.7,85.3
1944,4,5.9,-2.5,1.7,18.9,-6.1,44.7,4.8,49.5
1944,5,17.1,4.3,10.7,26.7,-2.2,29,0,29
1944,6,20.1,10,15.1,32.2,2.2,134.4,0,134.4
1944,7,23.2,14.3,18.8,30,10,48,0,48
1944,8,24.8,15.7,20.3,34.4,10,78.5,0,78.5
1944,9,19.4,11.8,15.6,23.9,3.9,79,0,79
1944,10,11.7,5.1,8.4,18.9,-4.4,166.9,0,166.9
1944,11,7.1,1.9,4.5,17.2,-3.9,146.6,0,146.6
1944,12,-0.8,-7.8,-4.3,9.4,-17.8,55.9,69.6,125.5
1945,1,-2,-9.9,-6,8.9,-20.6,24.9,143.3,168.1
1945,2,-3.2,-9.6,-6.4,4.4,-17.8,23.1,63,86.1
1945,3,2.6,-5.1,-1.3,16.1,-14.4,74.9,18.5,93.5
1945,4,7.9,0.6,4.3,22.2,-6.1,98.6,16.8,115.3
1945,5,11.8,3.9,7.9,18.3,-3.9,141.2,2.3,143.5
1945,6,17.4,8.4,12.9,28.9,1.7,89.4,0,89.4
1945,7,24.6,13.8,19.2,30.6,9.4,27.7,0,27.7
1945,8,23.8,14.9,19.4,28.9,10.6,28.2,0,28.2
1945,9,18.9,10.7,14.8,29.4,0,106.9,0,106.9
1945,10,11.3,3.7,7.5,20,-4.4,172.5,0,172.5
1945,11,5.2,-1.1,2.1,14.4,-7.2,134.4,2.5,136.9
1945,12,-2.6,-8.8,-5.7,8.3,-16.7,47.5,26.7,74.2
1946,1,-3.6,-12.2,-7.9,9.4,-26.1,0,113.3,113.3
1946,2,-3.9,-13.1,-8.5,8.3,-19.4,5.1,59.9,65
1946,3,3.3,-4.1,-0.4,15.6,-8.9,1.8,2.8,4.6
1946,4,5.6,-1.5,2.1,16.7,-10.6,30.5,82.8,113.3
1946,5,14.4,4.3,9.4,23.9,-6.7,60.7,0,60.7
1946,6,19.9,9.8,14.9,29.4,4.4,30.7,0,30.7
1946,7,22.2,12.9,17.6,29.4,4.4,41.7,0,41.7
1946,8,21.9,14,18,27.2,9.4,109.5,0,109.5
1946,9,20.1,11.7,15.9,25.6,6.1,73.4,0,73.4
1946,10,14.5,5.3,9.9,22.2,-1.7,108.7,0.3,109
1946,11,6.2,-1.4,2.4,13.3,-11.7,87.9,20.8,108.7
1946,12,-0.5,-8.6,-4.6,8.9,-23.9,108.7,37.8,146.6
1947,1,-2.8,-12.8,-7.8,8.9,-21.7,81.5,22.6,104.1
1947,2,-1.4,-7.9,-4.7,5.6,-15.6,26.7,38.6,65.3
1947,3,1.3,-5.3,-2,7.8,-11.1,19.6,13.5,33
1947,4,5.3,-3.1,1.1,16.7,-7.2,74.9,11.2,86.1
1947,5,14.3,4.4,9.4,22.8,-3.3,147.6,0,147.6
1947,6,17.9,8.5,13.2,30,-1.1,126.2,0,126.2
1947,7,25.3,17.6,21.5,29.4,13.3,63.5,0,63.5
1947,8,23.3,14.1,18.7,33.3,7.8,32,0,32
1947,9,18.9,10.1,14.5,29.4,1.1,128.8,0,128.8
1947,10,14,5.6,9.8,22.2,0,27.9,0,27.9
1947,11,6,0.5,3.3,12.8,-7.2,110.2,4.6,114.8
1947,12,-2.2,-7.3,-4.8,5,-12.8,17.8,69.1,86.9
1948,1,-3.8,-11.4,-7.6,4.4,-20.6,3.3,67.6,70.9
1948,2,-6.3,-16.1,-11.2,7.2,-26.1,8.6,31.5,40.1
1948,3,-2.2,-10.6,-6.4,8.3,-23.9,20.1,41.7,61.7
1948,4,4.6,-1.7,1.5,10,-6.7,42.2,46.2,88.4
1948,5,12.8,4.8,8.8,23.9,-1.7,96.3,0,96.3
1948,6,17.4,8.8,13.1,29.4,4.4,81.8,0,81.8
1948,7,22.6,14.4,18.5,28.9,8.9,88.4,0,88.4
1948,8,22.6,14.4,18.5,26.7,9.4,80.8,0,80.8
1948,9,18.1,10.6,14.4,28.3,4.4,88.1,0,88.1
1948,10,12.4,6.1,9.3,18.3,-2.2,73.7,1.8,75.4
1948,11,7.5,1.6,4.6,16.7,-1.7,137.7,5.1,142.7
1948,12,0.8,-4.9,-2.1,10,-15.6,35.8,44.7,80.5
1949,1,-1.5,-9.2,-5.4,10,-20,31.2,32.5,63.8
1949,2,-3.1,-11.3,-7.2,5.6,-18.3,31.2,74.4,105.7
1949,3,1.6,-5.9,-2.2,6.7,-12.2,66,78,144
1949,4,7.5,-0.3,3.6,16.1,-3.9,89.4,18.5,108
1949,5,13.7,4.2,9,23.9,-1.1,73.4,0,73.4
1949,6,19.9,10.5,15.2,30,3.9,50.3,0,50.3
1949,7,23.9,14.5,19.2,32.8,8.9,52.6,0,52.6
1949,8,22.9,13.6,18.3,29.4,8.3,126.2,0,126.2
1949,9,18.2,10.3,14.3,25,3.9,110.7,0,110.7
1949,10,13.4,5.9,9.7,23.3,-0.6,54.6,0,54.6
1949,11,5.2,-1.2,2,13.9,-8.3,98.6,14.5,113
1949,12,2.1,-4.8,-1.4,13.9,-13.3,67.8,6.9,74.7
1950,1,-1.6,-11.5,-6.6,11.7,-23.3,27.9,55.1,83.1
1950,2,-6.4,-15.3,-10.9,5.6,-25,11.9,55.6,67.6
1950,3,-0.9,-9.4,-5.2,9.4,-23.3,10.7,25.9,36.6
1950,4,6.1,-0.9,2.6,15.6,-7.2,33.5,62.7,96.3
1950,5,15.9,4.1,10,27.2,-2.8,22.1,0,22.1
1950,6,19.6,10,14.8,29.4,4.4,57.9,0,57.9
1950,7,22.6,13.4,18,27.2,8.9,99.8,0,99.8
